metin,kategori,zorluk,kaynak
"İlk evini almak isteyen bireysel müşterilere özel konut finansmanı fırsatıyla 2.500.000 TL'ye kadar finansman kullanabilirsiniz. %1,79 kâr payı oranı ve 120 aya varan vade seçeneklerinden yararlanmak için 15 Nisan 2026 tarihine kadar şubelerimize başvurabilirsiniz.",konut_finansmani,kolay,synthetic
"Yeni bir ev sahibi olmak isteyen müşterilerimize 5 milyon TL'ye kadar konut finansmanı desteği sunuyoruz. 60 ay vadede avantajlı ödeme seçeneklerinden yararlanabilir, başvurunuzu mobil uygulama üzerinden kolayca iletebilirsiniz.",konut_finansmani,kolay,synthetic
"Hayalinizdeki daireye kavuşmak için 500.000 TL'den başlayan konut finansmanı seçeneklerimizi değerlendirin. %2,15 kâr payı oranı ve 36 aya varan vade imkânı Ağustos sonuna kadar geçerlidir.",konut_finansmani,kolay,synthetic
"İkinci el konut satın alımlarında bireysel müşterilere özel finansman imkânı sunulmaktadır. 2.000.000 TL'ye kadar konut finansmanı için 10 yıla varan ödeme planı oluşturabilir, detaylı bilgiye internet bankacılığından ulaşabilirsiniz.",konut_finansmani,kolay,synthetic
"Yeni müşteriler, seçili konut alımlarında 3.000.000 TL'ye kadar finansman kullanabilir. %1,95 kâr payı oranıyla sunulan kampanyada azami vade 120 aydır. Başvurular 1 Haziran 2026'dan itibaren şubelerden alınacaktır.",konut_finansmani,kolay,synthetic
Konut finansmanı kampanyamızla ev sahibi olma planınızı uzun vadeli ödeme seçenekleriyle gerçekleştirebilirsiniz. 1.500.000 TL finansman için 60 aya kadar vade ve müşteriye özel kâr payı oranları sunulmaktadır.,konut_finansmani,kolay,synthetic
Mevcut müşterilerimizin sıfır veya ikinci el daire alımlarında kullanabileceği finansman paketi yenilendi. 2.500.000 TL'ye kadar olan taleplerde 84 aya varan vade uygulanırken kâr payı oranı müşterinin tercih ettiği ödeme planına göre belirlenmektedir. Ön başvurular mobil uygulamadan yapılabilir.,konut_finansmani,orta,synthetic
"Aileniz için daha geniş bir eve geçmeyi planlıyorsanız, uygun ödeme planlarıyla satın alma sürecinizi destekleyebilirsiniz. 5 milyon TL'ye kadar finansman, 120 aya kadar vade ve %2,05'ten başlayan kâr payı seçenekleri sunulmaktadır. Kampanya Ağustos sonuna kadar bireysel müşteriler için geçerlidir.",konut_finansmani,orta,synthetic
"Yeni tamamlanan projelerden daire satın almak isteyen müşteriler için özel bir ödeme modeli oluşturuldu. 500.000 TL ile 4.000.000 TL arasındaki finansman talepleri 36, 60 veya 120 ay vadeyle değerlendirilebilir. Başvuru ve ekspertiz süreci şubeler üzerinden yürütülmektedir.",konut_finansmani,orta,synthetic
"İlk kez ev sahibi olacak yeni müşterilere yönelik kampanyada, satın alınacak taşınmazın ekspertiz değeri ve müşteri değerlendirmesi dikkate alınarak finansman limiti belirlenir. 2.500.000 TL'ye kadar taleplerde %1,89'dan başlayan kâr payı oranı ve 10 yıla kadar vade seçeneği bulunmaktadır. Kampanyaya 15 Nisan 2026 tarihinden itibaren katılım sağlanabilir.",konut_finansmani,orta,synthetic
"Şehir merkezinde veya yeni gelişen bölgelerde daire almayı planlayan bireysel müşteriler, uzun vadeli finansman seçeneklerinden yararlanabilir. 3.500.000 TL'ye kadar sağlanan destek için 120 aya varan ödeme planı oluşturulabilir. Başvurular internet bankacılığından başlatılıp gerekli belgeler şubeye teslim edilebilir.",konut_finansmani,orta,synthetic
"Mevcut evinizi değiştirerek yeni bir konuta taşınmak istiyorsanız, satın alma bedelinin uygun bulunan kısmı için finansman desteği sağlanabilir. 60 ay vadeli seçeneklerde %2,15 kâr payı oranı uygulanırken daha uzun vadeler için oranlar farklılaşabilir. 1 Haziran 2026'dan itibaren geçerli koşullar mobil uygulamada görüntülenebilir.",konut_finansmani,orta,synthetic
"İkinci el daire alımlarına yönelik yeni kampanyada 4.250.000 TL'ye kadar finansman imkânı sağlanmaktadır. Müşteriler 48, 72 veya 120 aylık ödeme planlarından kendilerine uygun olanı seçebilir. Ekspertiz işleminin ardından kesin finansman tutarı ve kâr payı oranı bildirilmektedir.",konut_finansmani,orta,synthetic
Yeni müşterilere özel olarak hazırlanan ev sahibi olma paketinde ilk 12 aya yönelik esnek taksit seçenekleri sunulmaktadır. 2.000.000 TL tutarındaki finansman 10 yıla kadar vadelendirilebilir ve başvuru süreci mobil uygulamadan başlatılabilir. Nihai koşullar satın alınacak konutun ekspertiz değeri üzerinden belirlenir.,konut_finansmani,orta,synthetic
Kira ödemek yerine kendi eviniz için düzenli ödeme yapmak isteyen müşterilerimize uzun vadeli bir satın alma çözümü sunuyoruz. Ekspertiz değeri uygun bulunan dairelerde 5 milyon TL'ye kadar destek sağlanabilir. 120 aya kadar oluşturulabilen ödeme planlarında oranlar müşteri profiline ve finansman tutarına göre değişmektedir.,konut_finansmani,zor,synthetic
"Ailenizin ihtiyaçlarına uygun yeni bir yaşam alanı seçtiğinizde, satış bedelinin belirli bir bölümü için bankamızdan destek alabilirsiniz. Tapu ve ekspertiz süreçlerinin tamamlanmasının ardından 60 aydan 120 aya kadar farklı ödeme seçenekleri oluşturulur. Kampanya bireysel müşteriler için Ağustos sonuna kadar geçerlidir.",konut_finansmani,zor,synthetic
"Yeni tamamlanmış bir projeden daire satın almak isteyenlere, peşinat sonrasında kalan tutarın uygun kısmı için taksitlendirme imkânı sunulmaktadır. 2.500.000 TL tutarındaki kullanımda 84 aya kadar ödeme planı seçilebilir. Başvuru için satın alınacak taşınmaza ilişkin belgelerin şubeye iletilmesi yeterlidir.",konut_finansmani,zor,synthetic
"İlk kez kendi yaşam alanını satın alacak yeni müşteriler için özel koşullar hazırlandı. Ekspertiz sonucu uygun bulunan taşınmazlarda 500.000 TL ile 3.000.000 TL arasındaki ihtiyaçlar 10 yıla kadar taksitlendirilebilir. Süreç internet bankacılığından başlatılabilir, tapu aşamasındaki işlemler ise şube aracılığıyla tamamlanır.",konut_finansmani,zor,synthetic
"Mevcut dairesini satarak daha yüksek değerli bir eve geçmek isteyen müşterilere özel bir finansal çözüm sunulmaktadır. Yeni taşınmazın değeri dikkate alınarak 5 milyon TL'ye kadar kullanım imkânı sağlanabilir ve 120 aylık ödeme planı tercih edilebilir. %2,09'dan başlayan oranlar başvuru değerlendirmesi sonrasında kesinleşir.",konut_finansmani,zor,synthetic
"Satın almayı planladığınız ikinci el dairenin ekspertiz işlemleri tamamlandıktan sonra kalan ödeme ihtiyacınız için bankamızın uzun vadeli çözümünden yararlanabilirsiniz. 1 Haziran 2026'dan itibaren yapılacak başvurularda 36, 60 ve 120 aylık alternatifler sunulmaktadır. Yeni ve mevcut müşteriler başvurularını mobil uygulamadan başlatabilir.",konut_finansmani,zor,synthetic
"Sıfır otomobil sahibi olmak isteyen bireysel müşterilerimize özel taşıt finansmanı fırsatı sunuyoruz. 950.000 TL'ye kadar finansman, %2,09 kâr payı oranı ve 48 aya varan vade seçenekleriyle kullanılabilir. Başvurular 5 Mayıs 2026 tarihinden itibaren şubelerimizden yapılabilir.",tasit_finansmani,kolay,synthetic
"Yeni aracınızı avantajlı ödeme seçenekleriyle satın alın. 1,5 milyon TL'ye kadar taşıt finansmanı 60 aya varan vadelerle sunulmaktadır. Bireysel müşteriler başvurularını mobil uygulamadan gerçekleştirebilir.",tasit_finansmani,kolay,synthetic
İkinci el otomobil alımlarında 300.000 TL'den başlayan finansman seçeneklerinden yararlanabilirsiniz. 36 aya kadar vade ve müşteriye özel kâr payı oranlarıyla bütçenize uygun ödeme planı oluşturabilirsiniz.,tasit_finansmani,kolay,synthetic
Sıfır kilometre araç alacak müşterilere özel taşıt finansmanı kampanyamız Eylül ayı sonuna kadar devam ediyor. 950.000 TL finansman için 24 veya 36 ay vade seçenekleri sunulmaktadır. Başvurunuzu internet bankacılığı üzerinden başlatabilirsiniz.,tasit_finansmani,kolay,synthetic
"Ticari araç sahibi olmak isteyen müşteriler için 1,5 milyon TL'ye kadar finansman desteği sağlanmaktadır. 60 aya kadar vade seçenekleri bulunan kampanyaya şubelerimizden başvurabilirsiniz.",tasit_finansmani,kolay,synthetic
"İkinci el aracınızı seçin, ödeme planınızı bütçenize göre oluşturun. 500.000 TL'ye kadar taşıt finansmanı %2,19'dan başlayan kâr payı oranları ve 36 aya varan vade ile sunulmaktadır.",tasit_finansmani,kolay,synthetic
"Yeni otomobil alımınıza özel ödeme çözümüyle 1.200.000 TL'ye kadar finansman kullanabilirsiniz. 12, 24 ve 36 aylık alternatif ödeme planları arasından bütçenize uygun seçeneği belirleyebilirsiniz. Kampanya bireysel müşteriler için Eylül ayı sonuna kadar geçerlidir.",tasit_finansmani,orta,synthetic
İkinci el araç satın almak isteyen mevcut müşterilerimize özel finansman koşulları hazırlandı. Aracın yaşı ve satış bedeli dikkate alınarak 950.000 TL'ye kadar destek sağlanabilir. Başvurular mobil uygulamadan başlatılıp gerekli belgeler şubeye iletilebilir.,tasit_finansmani,orta,synthetic
"Sıfır araç alımlarında %2,09 kâr payı oranıyla 48 aya kadar ödeme imkânından yararlanabilirsiniz. 1,5 milyon TL'ye kadar olan talepler müşteri değerlendirmesi ve araç bedeli doğrultusunda sonuçlandırılmaktadır. Başvuru süreci internet bankacılığından takip edilebilir.",tasit_finansmani,orta,synthetic
"İşiniz için yeni bir hafif ticari araç almayı planlıyorsanız, 60 aya kadar vadeli finansman seçeneklerimizi değerlendirebilirsiniz. 300.000 TL ile 1.250.000 TL arasındaki taleplerde ödeme planı kullanım tutarına göre belirlenir. Kampanya 5 Mayıs 2026 itibarıyla geçerlidir.",tasit_finansmani,orta,synthetic
Otomobilinizi yenilerken peşinat sonrasında kalan tutar için bankamızın araç alımına özel finansman çözümünden yararlanabilirsiniz. 24 ve 48 ay vadelerde farklı kâr payı oranları uygulanmaktadır. Yeni müşteriler ön başvurularını mobil kanaldan iletebilir.,tasit_finansmani,orta,synthetic
"İkinci el otomobil alımlarında finansman tutarı aracın satış fiyatı ve değerlendirme kriterlerine göre belirlenmektedir. 750.000 TL'ye kadar talepler 12, 24 veya 36 ay vadeyle değerlendirilebilir. Kart müşterilerine başvuru sürecinde ek ücret avantajı sunulabilir.",tasit_finansmani,orta,synthetic
"Bireysel müşterilere yönelik yeni araç kampanyasında 1,5 milyon TL'ye kadar finansal destek sağlanmaktadır. 60 aya varan ödeme süresi ve %2,25'ten başlayan kâr payı oranları araç modeline ve finansman tutarına göre değişebilir. Detaylı koşullar şubelerden öğrenilebilir.",tasit_finansmani,orta,synthetic
Sıfır veya ikinci el araç tercihinize göre farklı ödeme seçeneklerinden yararlanabilirsiniz. 950.000 TL tutarındaki finansman ihtiyacı için 36 ve 48 aylık planlar sunulurken nihai oran başvuru değerlendirmesi sonrasında belirlenir. Kampanyaya internet üzerinden başvuru yapılabilir.,tasit_finansmani,orta,synthetic
Beğendiğiniz otomobili satın alırken peşinatınızın ardından kalan tutarı uzun vadeli ödeme seçenekleriyle tamamlayabilirsiniz. 1.100.000 TL'ye kadar kullanım imkânı bulunan çözümde 12 aydan 48 aya kadar farklı planlar oluşturulmaktadır. Araç faturası veya satış belgesinin başvuru sırasında sunulması gerekir.,tasit_finansmani,zor,synthetic
"Mevcut aracını değiştirmek isteyen müşteriler, yeni seçtikleri otomobilin satış bedeline göre ek ödeme desteğinden yararlanabilir. Sıfır kilometre modellerde 60 aya, ikinci el seçeneklerde ise 36 aya kadar planlama yapılabilir. 5 Mayıs 2026'dan sonra mobil kanaldan yapılan başvurular da değerlendirmeye alınacaktır.",tasit_finansmani,zor,synthetic
"İşletmenizin ulaşım ihtiyacı için satın alacağınız hafif ticari modellerde peşin ödemenin dışında kalan bölüm taksitlendirilebilir. 1,5 milyon TL'ye kadar tutarlarda 24, 36 veya 48 aylık ödeme alternatifleri sunulmaktadır. Kesin koşullar aracın bedeli ve müşteri değerlendirmesine göre oluşturulur.",tasit_finansmani,zor,synthetic
Galeriden seçtiğiniz ikinci el otomobil için satış işlemi tamamlanmadan önce finansal değerlendirme başlatabilirsiniz. Aracın yaşı uygun olduğunda 300.000 TL ile 950.000 TL arasındaki ihtiyaçlar 36 aya kadar taksitlendirilebilir. Eylül ayı sonuna kadar yapılan başvurularda işlem masrafına yönelik indirim uygulanabilir.,tasit_finansmani,zor,synthetic
"Yeni bir otomobile geçiş yaparken bütçenizin tamamını tek seferde kullanmak zorunda değilsiniz. Satın alma bedelinin uygun bulunan bölümü için %2,09'dan başlayan oranlarla 48 aya kadar ödeme planı hazırlanabilir. Ön değerlendirme mobil uygulamada, nihai işlemler ise şube üzerinden tamamlanır.",tasit_finansmani,zor,synthetic
"Seçtiğiniz aracın satış bedeli ile mevcut birikiminiz arasındaki fark için bankamızdan ödeme desteği alabilirsiniz. Sıfır otomobillerde 1,5 milyon TL'ye kadar, uygun ikinci el araçlarda ise 950.000 TL'ye kadar kullanım imkânı bulunmaktadır. Vade 12 ile 60 ay arasında belirlenirken ödeme koşulları araç türüne göre farklılaşabilir.",tasit_finansmani,zor,synthetic
"Eğitim giderlerinizi ertelemeden karşılayabilmeniz için 150.000 TL'ye kadar ihtiyaç finansmanı sunuyoruz. %2,05 kâr payı oranı ve 24 aya varan vade seçeneklerinden yararlanabilirsiniz. Başvurular mobil uygulama üzerinden yapılabilir.",ihtiyac_finansmani,kolay,synthetic
Evinizin tadilat ve yenileme masrafları için 300.000 TL'ye kadar ihtiyaç finansmanı kullanabilirsiniz. 36 aya kadar vade imkânı sunulan kampanyaya 1 Eylül 2026 tarihinden itibaren şubelerimizden başvurabilirsiniz.,ihtiyac_finansmani,kolay,synthetic
"Düğün hazırlıklarınız için ihtiyaç duyduğunuz harcamaları 200.000 TL'ye kadar finansman desteğiyle karşılayabilirsiniz. 6, 12, 18 veya 24 aylık ödeme seçeneklerinden bütçenize uygun olanı seçebilirsiniz. Kampanya Ekim ayı sonuna kadar geçerlidir.",ihtiyac_finansmani,kolay,synthetic
"Mobilya ve beyaz eşya alışverişlerinize yönelik 100.000 TL'ye kadar ihtiyaç finansmanı fırsatından yararlanın. %2,19'dan başlayan kâr payı oranlarıyla 18 aya kadar ödeme planı oluşturabilirsiniz.",ihtiyac_finansmani,kolay,synthetic
