metin,kategori,kaynak,zorluk
Beğendiğiniz otomobili satın alırken peşinatınızın ardından kalan tutarı uzun vadeli ödeme seçenekleriyle tamamlayabilirsiniz. 1.100.000 TL'ye kadar kullanım imkânı bulunan çözümde 12 aydan 48 aya kadar farklı planlar oluşturulmaktadır. Araç faturası veya satış belgesinin başvuru sırasında sunulması gerekir.,tasit_finansmani,synthetic,zor
Taşıt finansmanında cazip oran ve esnek vade seçenekleri.,tasit_finansmani,real,belirsiz
Sıfır kilometre araçlar için özel finansman oranları sunulmaktadır.,tasit_finansmani,real,belirsiz
"Portföyünde farklı varlık sınıflarına yer vermek isteyen müşteriler altın, döviz ve katılım fonlarını birlikte değerlendirebilir. Risk dağılımı, yatırım süresi ve piyasa beklentileri dikkate alınarak farklı ürün kombinasyonları oluşturulabilir. İşlemler mobil uygulama üzerinden yönetilebilir.",yatirim,synthetic,orta
"Çatı onarımı, ısı yalıtımı ve mutfak yenilemesi gibi evinizi daha kullanışlı hâle getirecek işler için bütçe desteğinden yararlanabilirsiniz. 450.000 TL'ye kadar tutar 36 aya yayılarak ödenebilir. Kesin oran ve aylık ödeme miktarı değerlendirme sonrasında açıklanır.",ihtiyac_finansmani,synthetic,zor
Yurt dışı dil eğitimi veya mesleki gelişim programına katılacak bireysel müşteriler için özel finansman koşulları hazırlandı. Eğitim bedelinin uygun bulunan kısmı için 400.000 TL'ye kadar destek sağlanabilir. 36 aya kadar vadelerde oranlar kullanım tutarına göre değişmektedir.,ihtiyac_finansmani,synthetic,orta
"Yeni tamamlanan projelerden daire satın almak isteyen müşteriler için özel bir ödeme modeli oluşturuldu. 500.000 TL ile 4.000.000 TL arasındaki finansman talepleri 36, 60 veya 120 ay vadeyle değerlendirilebilir. Başvuru ve ekspertiz süreci şubeler üzerinden yürütülmektedir.",konut_finansmani,synthetic,orta
"Mobil bankacılık uygulamamız yenilendi. Güncel sürümle hesap hareketlerinizi görüntüleyebilir, para transferlerinizi daha hızlı gerçekleştirebilir ve şube bilgilerine kolayca ulaşabilirsiniz.",diger,synthetic,kolay
Yeni şubemiz 1 Eylül 2026 tarihinden itibaren hizmet vermeye başlayacaktır. Bireysel ve ticari müşterilerimiz bankacılık işlemleri için yeni hizmet noktamızı ziyaret edebilir.,diger,synthetic,kolay
Birikimlerinize uygun vadeli katılma hesabı seçenekleri.,katilma_hesabi,real,belirsiz
Konut finansmanı kampanyamızla ev sahibi olma planınızı uzun vadeli ödeme seçenekleriyle gerçekleştirebilirsiniz. 1.500.000 TL finansman için 60 aya kadar vade ve müşteriye özel kâr payı oranları sunulmaktadır.,konut_finansmani,synthetic,kolay
ATM üzerinden gerçekleştirilen işlemlerde güvenliğinizi korumak için şifrenizi üçüncü kişilerle paylaşmayınız. Kartınızı cihazda unutmanız durumunda müşteri hizmetleriyle iletişime geçebilirsiniz. ATM kullanımına ilişkin güncel işlem limitleri dijital kanallardan görüntülenebilir.,diger,synthetic,orta
Belirli bir süre kullanmayı planlamadığınız paranızı sabit bir hesapta tutmak yerine farklı faizsiz sermaye piyasası araçlarına dağıtabilirsiniz. Kira sertifikası ve katılım fonu payları satın alınarak piyasa koşullarına bağlı bir portföy oluşturulabilir. Varlıkların değeri alım tarihinden sonra artabileceği gibi azalabilir.,yatirim,synthetic,zor
"İlk kez kendi yaşam alanını satın alacak yeni müşteriler için özel koşullar hazırlandı. Ekspertiz sonucu uygun bulunan taşınmazlarda 500.000 TL ile 3.000.000 TL arasındaki ihtiyaçlar 10 yıla kadar taksitlendirilebilir. Süreç internet bankacılığından başlatılabilir, tapu aşamasındaki işlemler ise şube aracılığıyla tamamlanır.",konut_finansmani,synthetic,zor
Araç satış işlemi sonrasında tarafınıza gönderilecek bedeli IBAN üzerinden hesabınıza kabul edebilirsiniz. Yüksek tutarlı transferlerde işlem güvenliği amacıyla ek doğrulama veya işlem kontrolü uygulanabilir. Sunulan hizmet aracın satın alınmasına yönelik bir finansman desteği değildir.,diger,synthetic,zor
İşyerinizde tahsilat süreçlerini kolaylaştırmak için farklı POS çözümleri sunulmaktadır. Fiziki POS cihazlarının yanı sıra uygun işletmeler sanal POS hizmetinden de yararlanabilir. Başvurular şubeler üzerinden alınmaktadır.,diger,synthetic,orta
"İhtiyaç finansmanında 3, 6, 12 ve 24 ay vade seçenekleri.",ihtiyac_finansmani,real,belirsiz
"Birikimlerinizi profesyonel olarak yönetilen katılım fonlarında değerlendirebilirsiniz. Düşük, orta ve yüksek risk seviyesine sahip fon seçenekleri arasından yatırım hedeflerinize uygun tercihi yapabilirsiniz. Alım ve satım işlemleri internet bankacılığından gerçekleştirilebilir.",yatirim,synthetic,kolay
